lowest fitness found, 2510 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 7510 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 6790 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 6610 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 3200 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 2760 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 6710 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 2350 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 2540 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 1860 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 2500 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 2990 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 2250 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 6110 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 6420 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 3570 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 4230 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 4020 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 1770 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 4880 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 5750 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 7480 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 3100 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 3880 , learning factor,  0.715, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 6010 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 5860 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 7540 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 3800 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 3310 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 2250 , learning factor,  0.72, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 6820 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 2220 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 7420 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 2360 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 3470 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 3770 , learning factor,  0.725, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 5660 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 3650 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 3320 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 3150 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 3120 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 2530 , learning factor,  0.73, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 3970 , learning factor,  0.735, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 4500 , learning factor,  0.735, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
