lowest fitness found, 840 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 480 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 760 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 660 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 630 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 900 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 780 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 880 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 710 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 3310 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 5130 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 4150 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,1, round, 
lowest fitness found, 1070 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 690 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 690 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 1140 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 1550 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 910 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 4670 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 4290 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 3300 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 5080 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 4500 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 5280 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,3, round, 
lowest fitness found, 3210 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 1090 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 2130 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 2090 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 3790 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 3000 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 4550 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 4410 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 3780 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 4550 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 4880 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 4990 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,5, round, 
lowest fitness found, 1950 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 2370 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 2490 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 2870 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4160 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 3900 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4700 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4010 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4310 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 5070 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4710 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 4680 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,7, round, 
lowest fitness found, 3100 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3580 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3460 , learning factor,  0.5, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3620 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3370 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 4090 , learning factor,  0.6, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3750 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 3840 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 4510 , learning factor,  0.7, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 4730 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 5280 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 5300 , learning factor,  0.8, w , 0.1, u1 ,1, u2 ,9, round, 
lowest fitness found, 540 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 710 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 900 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 2240 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 830 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 3480 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 3360 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4640 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 1760 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4760 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4790 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4950 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 1570 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2650 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2140 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2620 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2820 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 3960 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
